1.00000000000115+0i
0.999521556961961-0.0309298750490329i
0.99808664533166-0.0618308047253659i
0.99569651731198-0.0926738658582518i
0.992353259048299-0.123430179672011i
0.988059789338145-0.154070933960205i
0.982819857821621-0.184567405230494i
0.976638042658085-0.214890980811134i
0.969519747699985-0.245013180916116i
0.9614711991272-0.274905680643333i
0.952499441594091-0.304540331919483i
0.942612333839666-0.333889185355435i
0.931818543803587-0.362924512029921i
0.920127543211688-0.391618825161924i
0.90754960168829-0.419944901713769i
0.894095780297867-0.447875803824461i
0.87977792464209-0.475384900180813i
0.864608657394353-0.502445887197034i
0.848601370384414-0.52903281011766i
0.831770216130715-0.555120083913316i
0.814130098884908-0.580682514022585i
0.795696665196318-0.605695316970008i
0.77648629394363-0.630134140733612i
0.756516085896588-0.65397508498645i
0.735803852762633-0.677194721080774i
0.714368105756828-0.699770111882081i
0.692228043666032-0.721678831311125i
0.669403540436052-0.74289898374687i
0.64591513226693-0.763409223099143i
0.621784004223463-0.783188771683037i
0.597031976367163-0.802217438851124i
0.571681489412038-0.820475639289945i
0.545755589900278-0.837944411101261i
0.519277914910333-0.854605433571188i
0.492272676289448-0.87044104463336i
0.464764644432885-0.885434258025177i
0.436779131580309-0.899568780148025i
0.408341974682376-0.912829026551619i
0.379479517782562-0.92520013812467i
0.350218593967531-0.936667996914032i
0.320586506868935-0.947219241577671i
0.290611011703874-0.956841282490601i
0.260320295903972-0.965522316439913i
0.229742959295539-0.973251340947111i
0.198907993842854-0.980018168192503i
0.16784476298974-0.985813438505031i
0.136582980551078-0.990628633457102i
0.105152689219435-0.994456088498779i
0.073584238644272-0.997289005165943i
0.0419082631123985-0.999121462827552i
0.0101556588217495-0.999948429967277i
-0.0216424392155766-0.999765774981397i
-0.0534546806819328-0.998570276501839i
-0.0852495238203488-0.996359633209064i
-0.116995259699964-0.99313247313968i
-0.148660036822681-0.988888362480438i
-0.180211886106936-0.983627813810479i
-0.211618746220889-0.97735229382305i
-0.242848489250098-0.97006423048086i
-0.273868946732223-0.96176701960605i
-0.304647935985473-0.952465030896427i
-0.3351532867968-0.942163613350549i
-0.365352868385012-0.930869100101885i
-0.395214616718552-0.918588812625657i
-0.424706562083621-0.905331064337126i
-0.453796856973952-0.891105163548517i
-0.482453804240018-0.875921415791577i
-0.510645885521602-0.859791125460975i
-0.538341789932922-0.84272659681087i
-0.565510443009982-0.824741134250753i
-0.592121035867998-0.80584904197585i
-0.618143054629476-0.786065622858949i
-0.643546310042916-0.765407176652253i
-0.668300967311792-0.74389099745173i
-0.692377576128101-0.721535370412354i
-0.715747100880512-0.698359567740205i
-0.73838095104404-0.674383843875598i
-0.760251011723519-0.649629429930765i
-0.781329674330099-0.624118527361627i
-0.801589867422156-0.59787430076594i
-0.821005087628895-0.570920869936564i
-0.839549430704465-0.543283301077593i
-0.85719762266362-0.514987597153002i
-0.873925050995496-0.486060687415487i
-0.88970779593302-0.456530416071293i
-0.904522661763735-0.426425530057607i
-0.918347208188454-0.395775665945118i
-0.931159781667996-0.364611335950094i
-0.94293954678223-0.332963913019487i
-0.953666517552664-0.300865615017648i
-0.963321588741463-0.268349487962684i
-0.971886567068589-0.235449388320823i
-0.979344202370174-0.202199964348147i
-0.985678218655712-0.16863663647679i
-0.990873345032093-0.134795576691364i
-0.994915346513881-0.100713686953692i
-0.997791054656889-0.0664285766061954i
-0.999488398011869-0.0319785387501006i
-0.999996432382805+0.00259747436163134i
-0.999305370857412+0.0372598769920357i
-0.99740661358317+0.0719684766208705i
-0.994292777280213+0.106682501683281i
-0.989957724450098+0.141360630391435i
-0.98439659226385+0.175961020597501i
-0.977605821129468+0.210441340750436i
-0.969583182842093+0.244758801923495i
-0.960327808374435+0.278870190926494i
-0.949840215267608+0.3127319045261i
-0.938122334498657+0.346299984742468i
-0.925177536965827+0.379530155267473i
-0.911010659427202+0.412377858968254i
-0.895628029938497+0.444798296507708i
-0.879037492722269+0.47674646605706i
-0.86124843252429+0.508177204138459i
-0.84227179832514+0.539045227536435i
-0.822120126488783+0.569305176338081i
-0.800807563257696+0.598911658047946i
-0.778349886628443+0.627819292812385i
-0.754764527569349+0.655982759709063i
-0.730070590561709+0.683356844125516i
-0.704288873515476+0.709896486212695i
-0.677441886964389+0.735556830375587i
-0.649553872653356+0.760293275841451i
-0.620650821434287+0.784061528280969i
-0.590760490565408+0.806817652435336i
-0.559912420374066+0.828518125808965i
-0.528137950380027+0.849119893382664i
-0.495470234881835+0.868580423381485i
-0.461944258077038+0.886857764072644i
-0.427596848795229+0.903910601611641i
-0.392466694917568+0.919698319031078i
-0.356594357585327+0.934181056277498i
-0.320022285314582+0.947319771469799i
-0.282794828122062+0.9590763033999i
-0.244958251895499+0.969413435339062i
-0.206560753042155+0.978294960320369i
-0.167652473753525+0.985685747991924i
-0.128285517991122+0.991551813275917i
-0.088513968463331+0.995860387003724i
-0.0483939048486905+0.99857998888268i
-0.00798342350615048+0.999680503056709i
0.0326573410044222+0.999133256711119i
0.0734661923450923+0.996911102224241i
0.11437884643776+0.992988503418727i
0.15532890281053+0.987341626608026i
0.19624781298955+0.979948437294007i
0.237064845665647+0.970788803406626i
0.277707048382026+0.959844606209788i
0.318099205612682+0.947099860186356i
0.358163793075959+0.932540843326402i
0.397820928424075+0.916156239521848i
0.436988318327426+0.897937294981345i
0.475581202434314+0.877877990837252i
0.513512294779248+0.855975234351202i
0.5506917234951+0.832229071476144i
0.58702697023638+0.806642923716857i
0.622422810947678+0.779223852652241i
0.656781260462717+0.749982855618567i
0.690001523792596+0.718935196475373i
0.721979958086473+0.686100775407895i
0.752610049996701+0.651504542072833i
0.781782414418407+0.615176956232977i
0.809384821901268+0.577154500193684i
0.835302263414432+0.537480246788295i
0.859417063000809+0.496204486519577i
0.881609050671861+0.45338541623556i
0.901755809855751+0.409089890873728i
0.919733016158145+0.363394237830531i
0.935414886166925+0.316385131358343i
0.948674757535453+0.268160521310012i
0.959385823561091+0.218830606670059i
0.967422047332168+0.168518839631876i
0.972659281724224+0.117362939939822i
0.974976621881825+0.0655158924509237i
0.974258016061998+0.0131468926656881i
0.970394158002966-0.0395578040765641i
0.963284679448631-0.0923941840372634i
0.952840653957771-0.14513999186939i
0.938987412372186-0.197554537885799i
0.921667656014155-0.249378880470271i
0.900844834986338-0.30033647576501i
0.876506736266648-0.350134391251077i
0.848669199516918-0.398465179179911i
0.817379848591167-0.445009498750897i
0.78272169498277-0.489439560377936i
0.744816438191913-0.531423440190722i
0.703827259899796-0.570630276244619i
0.65996088773562-0.606736310614597i
0.613468694811207-0.639431683566808i
0.564646606255008-0.668427820399313i
0.513833609164865-0.69346518263408i
0.461408708405824-0.714321088386659i
0.407786239927561-0.730817249968254i
0.353409542448577-0.742826637397329i
0.298743093173449-0.750279262725271i
0.244263325538895-0.753166497492992i
0.190448456014772-0.751543587940875i
0.137767741230491-0.74553011858463i
0.0866706544615063-0.735308289931727i
0.0375765021140537-0.721119010414155i
-0.00913500905357302-0.703255943998357i
-0.0531317959067634-0.682057788559457i
-0.0941356466287082-0.657899172485479i
-0.131926444110136-0.631180636397579i
-0.166344252550625-0.602318206502801i
-0.197289292315568-0.571733063420333i
-0.224719954093857-0.539841768821102i
-0.24864910677891-0.507047438911109i
-0.269139027113493-0.473732159043654i
-0.286295319699988-0.440250828834595i
-0.300260204739183-0.406926523007881i
-0.311205531875085-0.374047358551889i
-0.319325838218854-0.341864780367523i
-0.324831714362587-0.310593118648049i
-0.32794368095637-0.280410232758654i
-0.32888671661102-0.251459037122652i
-0.327885520246514-0.223849701697111i
-0.325160540804481-0.197662329609118i
-0.320924766363354-0.172949933514048i
-0.315381233542091-0.149741556793819i
-0.308721196407534-0.128045412731022i
-0.301122880739988-0.107851941888444i
-0.292750743139479-0.089136713411436i
-0.283755153602449-0.0718631186884457i
-0.274272423343331-0.0559848252491249i
-0.26442510552678-0.0414479746932907i
-0.25432250414759-0.0281931209798539i
-0.244061334601834-0.0161569148705327i
-0.233726487977746-0.00527354704260948i
-0.223391859247626+0.00452403309873323i
-0.213121207066696+0.0133031032422819i
-0.202969019631748+0.0211303377042614i
-0.192981366953154+0.0280711396027866i
-0.183196724890143+0.034189115192272i
-0.173646760507512+0.0395456710188907i
-0.164357071735861+0.0441997160074553i
-0.155347877081227+0.0482074522276722i
-0.146634653289295+0.0516222397884605i
-0.138228720553475+0.0544945229925132i
-0.130137776097761+0.0568718065042913i
